instrument	category	source	collection	bright	odd	slope	flat	h1	crest	zcr
110A PWM WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Softbe Modular/110A PWM.vitaltable	Kimura Taro (CC0)	4.156	0.663	-2.044	0.009	0.530	2.565	0.003
259e-G1 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Softbe Modular/259e-G1.vitaltable	Kimura Taro (CC0)	4.975	0.655	-4.569	0.003	0.117	1.640	0.007
259e-G2 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Softbe Modular/259e-G2.vitaltable	Kimura Taro (CC0)	2.982	0.568	-4.547	0.002	0.194	2.625	0.005
259e-G3 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Softbe Modular/259e-G3.vitaltable	Kimura Taro (CC0)	5.985	0.651	-4.264	0.003	0.014	1.909	0.007
259e-G4 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Softbe Modular/259e-G4.vitaltable	Kimura Taro (CC0)	6.395	1.000	-3.600	0.004	0.206	1.997	0.007
259e-G6 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Softbe Modular/259e-G6.vitaltable	Kimura Taro (CC0)	7.790	0.643	-2.448	0.008	0.100	2.761	0.003
259e-Mix2 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Buchla 259e-Red/259e-Mix2.vitaltable	Kimura Taro (CC0)	4.799	0.685	-4.119	0.041	0.101	1.965	0.008
259e-Mix4 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Buchla 259e-Red/259e-Mix4.vitaltable	Kimura Taro (CC0)	5.302	0.992	-3.686	0.058	0.082	2.296	0.006
259e-R6 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Buchla 259e-Red/259e-R6.vitaltable	Kimura Taro (CC0)	4.501	0.600	-2.116	0.117	0.372	2.713	0.002
259e1 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Softbe Modular/259e1.vitaltable	Kimura Taro (CC0)	4.113	0.611	-4.233	0.003	0.143	1.998	0.006
