instrument	category	source_table	collection
110A PWM WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Softbe Modular/110A PWM.vitaltable	Kimura Taro (CC0)
259e-G1 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Softbe Modular/259e-G1.vitaltable	Kimura Taro (CC0)
259e-G2 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Softbe Modular/259e-G2.vitaltable	Kimura Taro (CC0)
259e-G3 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Softbe Modular/259e-G3.vitaltable	Kimura Taro (CC0)
259e-G4 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Softbe Modular/259e-G4.vitaltable	Kimura Taro (CC0)
259e-G6 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Softbe Modular/259e-G6.vitaltable	Kimura Taro (CC0)
259e-Mix2 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Buchla 259e-Red/259e-Mix2.vitaltable	Kimura Taro (CC0)
259e-Mix4 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Buchla 259e-Red/259e-Mix4.vitaltable	Kimura Taro (CC0)
259e-R6 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Buchla 259e-Red/259e-R6.vitaltable	Kimura Taro (CC0)
259e1 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Softbe Modular/259e1.vitaltable	Kimura Taro (CC0)
259e2 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Softbe Modular/259e2.vitaltable	Kimura Taro (CC0)
303 WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/303.vitaltable	WaveEdit Online (CC0)
80_s Christmas WT.xrni	additive and organ	/home/meneses/.local/share/vital/Vital Harvest/Presets/80_s Christmas.vital	other
A4TriAMLPF WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/AnalogFour/A4TriAMLPF.vitaltable	Kimura Taro (CC0)
ADPR - Low FMT Yoi WT.xrni	additive and organ	/home/meneses/.local/share/vital/Growl 2 - Talking Yoi/Presets/ADPR - Low FMT Yoi.vital	user/Discord presets (third-party)
ALPHA_2_ WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/ALPHA_2_.vitaltable	WaveEdit Online (CC0)
AM_SINE WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/AM_SINE.vitaltable	WaveEdit Online (CC0)
Add Bell WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Additive Synth/Add Bell.vitaltable	Kimura Taro (CC0)
Add Synth1 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Additive Synth/Add Synth1.vitaltable	Kimura Taro (CC0)
Add Synth2 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Additive Synth/Add Synth2.vitaltable	Kimura Taro (CC0)
Add Synth2 Walsh IDY WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Additive Synth/Add Synth2 Walsh IDY.vitaltable	Kimura Taro (CC0)
Add Synth5 IcarusBell WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Additive Synth/Add Synth5 IcarusBell.vitaltable	Kimura Taro (CC0)
Alien Tree Bells WT.xrni	additive and organ	/home/meneses/.local/share/vital/Vital Harvest/Presets/Alien Tree Bells.vital	other
Ambient Soundscape 4 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Vital Harvest/Presets/Ambient Soundscape 4.vital	other
Artificial Keys WT.xrni	additive and organ	/home/meneses/.local/share/vital/Vital Harvest/Presets/Artificial Keys.vital	other
Audacity DrawSaw WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Audacity/Audacity DrawSaw.vitaltable	Kimura Taro (CC0)
Audacity Wave Harm WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Audacity/Audacity Wave Harm.vitaltable	Kimura Taro (CC0)
BANK_B WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/BANK_B.vitaltable	WaveEdit Online (CC0)
BRAIDS02 WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/BRAIDS02.vitaltable	WaveEdit Online (CC0)
BRAIDS04 WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/BRAIDS04.vitaltable	WaveEdit Online (CC0)
BS Dashstar WT.xrni	additive and organ	/home/meneses/.local/share/vital/Vital Harvest/Presets/BS Dashstar.vital	other
Bass funky WT.xrni	additive and organ	/home/meneses/.local/share/vital/nahush2321/Presets/Bass funky.vital	user/Discord presets (third-party)
BassTables 05 WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/basstables-v1/BassTables/BassTables 05.wav	BassTables (free use license)
BassTables 06 WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/basstables-v1/BassTables/BassTables 06.wav	BassTables (free use license)
BassTables 08 WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/basstables-v1/BassTables/BassTables 08.wav	BassTables (free use license)
BassTables 14 WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/basstables-v1/BassTables/BassTables 14.wav	BassTables (free use license)
BassTables 15 WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/basstables-v1/BassTables/BassTables 15.wav	BassTables (free use license)
BassTables 22 WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/basstables-v1/BassTables/BassTables 22.wav	BassTables (free use license)
BassicGrime WT.xrni	additive and organ	/home/meneses/.local/share/vital/VitalBank/Presets/BassicGrime.vital	other
